Q2M2I8	ENSG00000115977
Q04759	ENSG00000065675
Q05513	ENSG00000067606
Q15139	ENSG00000184304
Q9BZL6	ENSG00000105287
O94806	ENSG00000115825
Q13976	ENSG00000185532
Q13237	ENSG00000138669
Q16512	ENSG00000123143
Q16513	ENSG00000065243
Q6P5Z2	ENSG00000160447
P19525	ENSG00000055332
P53350	ENSG00000166851
Q9NYY3	ENSG00000145632
Q9H4B4	ENSG00000173846
O00444	ENSG00000142731
P51817	ENSG00000183943
Q13523	ENSG00000112739
Q96S44	ENSG00000172315
P11801	ENSG00000159792
Q96QS6	ENSG00000147613
Q14289	ENSG00000120899
Q9H0K1	ENSG00000170145
Q9Y2K2	ENSG00000160584
P04049	ENSG00000132155
P07949	ENSG00000165731
Q15835	ENSG00000185974
Q13546	ENSG00000137275
O43353	ENSG00000104312
Q9Y572	ENSG00000129465
Q05823	ENSG00000135828
Q13464	ENSG00000067900
O75116	ENSG00000134318
Q04912	ENSG00000164078
Q01973	ENSG00000185483
Q01974	ENSG00000169071
P08922	ENSG00000047936
Q15418	ENSG00000117676
Q15418	ENSG00000281877
P51812	ENSG00000177189
Q15349	ENSG00000071242
Q9UK32	ENSG00000072133
Q96S38	ENSG00000136643
Q9Y6S9	ENSG00000198208
P34925	ENSG00000163785
Q52WX2	ENSG00000188322
Q96KG9	ENSG00000142186
Q6P3W7	ENSG00000136021
Q8IZE3	ENSG00000000457
P0C263	ENSG00000187550
Q8NE28	ENSG00000198870
Q86YV6	ENSG00000145949
O00141	ENSG00000118515
P0C264	ENSG00000231274
Q9H5K3	ENSG00000185900
Q9HBY8	ENSG00000101049
Q86YV5	ENSG00000275342
Q9H792	ENSG00000173517
Q8NFD2	ENSG00000170209
Q96BR1	ENSG00000104205
Q8IWB6	ENSG00000121101
Q9BXU1	ENSG00000196335
Q504Y2	ENSG00000162878
Q8N2I9	ENSG00000196182
Q6XUX3	ENSG00000133059
P57059	ENSG00000142178
Q9H1R3	ENSG00000101306
Q9H2G2	ENSG00000065613
Q7Z7A4	ENSG00000168297
Q15746	ENSG00000065534
Q9NRH2	ENSG00000163788
Q15772	ENSG00000072195
P12931	ENSG00000197122
Q9H3Y6	ENSG00000125508
Q96SB4	ENSG00000096063
P78362	ENSG00000135250
Q9BXA6	ENSG00000178093
Q9BYT3	ENSG00000130413
Q9UEW8	ENSG00000198648
Q7RTN6	ENSG00000266173
Q9C0K7	ENSG00000082146
Q6J9G0	ENSG00000060140
P43405	ENSG00000165025
O43318	ENSG00000135341
Q7L7X3	ENSG00000160551
Q9UL54	ENSG00000149930
Q9H2K8	ENSG00000135090
Q8TEA7	ENSG00000145348
Q9UHD2	ENSG00000183735
P42680	ENSG00000135605
Q15569	ENSG00000107140
Q96S53	ENSG00000070759
P36897	ENSG00000106799
P37173	ENSG00000163513
P35590	ENSG00000066056
Q02763	ENSG00000120156
Q9UKI8	ENSG00000198586
Q86UE8	ENSG00000146872
Q9UKE5	ENSG00000154310
Q13470	ENSG00000174292
Q13470	ENSG00000283781
O60229	ENSG00000160145
Q96RU8	ENSG00000173334
Q92519	ENSG00000071575
Q96RU7	ENSG00000101255
O75962	ENSG00000038382
P04629	ENSG00000198400
Q16620	ENSG00000148053
Q16288	ENSG00000140538
Q9BXA7	ENSG00000212122
Q96PF2	ENSG00000206203
Q96PN8	ENSG00000162526
Q6SA08	ENSG00000139908
Q5TCY1	ENSG00000146216
Q6IQ55	ENSG00000128881
P33981	ENSG00000112742
Q8WZ42	ENSG00000155657
P42681	ENSG00000074966
P29597	ENSG00000105397
Q06418	ENSG00000092445
O75385	ENSG00000177169
Q8IYT8	ENSG00000083290
Q6PHR2	ENSG00000140474
Q96C45	ENSG00000168038
Q8NCB2	ENSG00000164076
Q99986	ENSG00000100749
Q86Y07	ENSG00000028116
Q8IV63	ENSG00000105053
P30291	ENSG00000166483
P0C1S8	ENSG00000214102
P0C1S8	ENSG00000263042
Q9H4A3	ENSG00000060237
Q9Y3S1	ENSG00000165238
Q9BYP7	ENSG00000196632
Q96J92	ENSG00000126562
Q8WU08	ENSG00000169302
Q9NY57	ENSG00000152953
Q86UX6	ENSG00000165752
P07947	ENSG00000176105
O00506	ENSG00000115694
Q9NYL2	ENSG00000091436
P43403	ENSG00000115085
